# Runtime payment flow entries are appended here by /api/payment/flow and /api/payment/cashfree/webhook.
2026-03-23T05:01:23.495Z | event=branch_created | branch_id=b44321c6-414b-423a-ad8a-8b1e0faef4ba | business_id=76e586c0-1ccd-469b-a267-ec8623ab473b | order_id=onboard_1774242083086 | session_id=session_Go45SnCfqbyxqPOGU0pabVdtLRyTVEhTysolwX4o29uCePnOXiKm67-na8OuZsRnZ_Bc1AVIjy56ivnJVzaT2Wg0i-9d6Jbvwyd-2L2SX_IflWcaZGyLZqOJOIAxQQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:01:23.551Z | event=payment_session_created | branch_id=b44321c6-414b-423a-ad8a-8b1e0faef4ba | business_id=76e586c0-1ccd-469b-a267-ec8623ab473b | order_id=onboard_1774242083086 | session_id=session_Go45SnCfqbyxqPOGU0pabVdtLRyTVEhTysolwX4o29uCePnOXiKm67-na8OuZsRnZ_Bc1AVIjy56ivnJVzaT2Wg0i-9d6Jbvwyd-2L2SX_IflWcaZGyLZqOJOIAxQQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:01:23.574Z | event=payment_initiated | branch_id=b44321c6-414b-423a-ad8a-8b1e0faef4ba | business_id=76e586c0-1ccd-469b-a267-ec8623ab473b | order_id=onboard_1774242083086 | session_id=session_Go45SnCfqbyxqPOGU0pabVdtLRyTVEhTysolwX4o29uCePnOXiKm67-na8OuZsRnZ_Bc1AVIjy56ivnJVzaT2Wg0i-9d6Jbvwyd-2L2SX_IflWcaZGyLZqOJOIAxQQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:23:16.732Z | event=branch_created | branch_id=c1fc6893-beb4-47bd-b2c3-8a27d0cb6781 | business_id=51937b63-3691-4b23-ba86-1e465ea4bee7 | order_id=onboard_1774243397134 | session_id=session_XGUaKkPgARFh9UC0nZSirvSguBV9i3uVy6EAQu_vf60mcOeFvwZkDENb5w3gaOXRJVljUTgqq8XsRTbZYGYNMImVAEphZ3Cvvn5m6-zlNNrW99g92kchgH2TJHDLewpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:23:16.774Z | event=payment_session_created | branch_id=c1fc6893-beb4-47bd-b2c3-8a27d0cb6781 | business_id=51937b63-3691-4b23-ba86-1e465ea4bee7 | order_id=onboard_1774243397134 | session_id=session_XGUaKkPgARFh9UC0nZSirvSguBV9i3uVy6EAQu_vf60mcOeFvwZkDENb5w3gaOXRJVljUTgqq8XsRTbZYGYNMImVAEphZ3Cvvn5m6-zlNNrW99g92kchgH2TJHDLewpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:23:16.826Z | event=payment_initiated | branch_id=c1fc6893-beb4-47bd-b2c3-8a27d0cb6781 | business_id=51937b63-3691-4b23-ba86-1e465ea4bee7 | order_id=onboard_1774243397134 | session_id=session_XGUaKkPgARFh9UC0nZSirvSguBV9i3uVy6EAQu_vf60mcOeFvwZkDENb5w3gaOXRJVljUTgqq8XsRTbZYGYNMImVAEphZ3Cvvn5m6-zlNNrW99g92kchgH2TJHDLewpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:38:18.847Z | event=branch_created | branch_id=dc33b449-e38c-4a41-b365-f65f1437c427 | business_id=3eb693b7-67ae-457f-9944-c3417cefe308 | order_id=onboard_1774244299604 | session_id=session_mreZ-Rl16QckGUN_iROmwFE8TYspPWyH9s0TmdmqNCNUNW11lHOwUWA77X5gUH66dR_Pl31gj7hjSU7A-52y6l5ZZsjxUv8qN1q6KEx397WBFiMTU0fgJ3yF2qJceQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:38:18.874Z | event=payment_session_created | branch_id=dc33b449-e38c-4a41-b365-f65f1437c427 | business_id=3eb693b7-67ae-457f-9944-c3417cefe308 | order_id=onboard_1774244299604 | session_id=session_mreZ-Rl16QckGUN_iROmwFE8TYspPWyH9s0TmdmqNCNUNW11lHOwUWA77X5gUH66dR_Pl31gj7hjSU7A-52y6l5ZZsjxUv8qN1q6KEx397WBFiMTU0fgJ3yF2qJceQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:38:18.922Z | event=payment_initiated | branch_id=dc33b449-e38c-4a41-b365-f65f1437c427 | business_id=3eb693b7-67ae-457f-9944-c3417cefe308 | order_id=onboard_1774244299604 | session_id=session_mreZ-Rl16QckGUN_iROmwFE8TYspPWyH9s0TmdmqNCNUNW11lHOwUWA77X5gUH66dR_Pl31gj7hjSU7A-52y6l5ZZsjxUv8qN1q6KEx397WBFiMTU0fgJ3yF2qJceQpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:45:48.329Z | event=branch_created | branch_id=2a9ecd6b-f70c-46c4-ab7f-8353264f417d | business_id=38477441-ae91-4ad5-acc0-5de51307d2b1 | order_id=onboard_1774244749119 | session_id=session_fPTaKixQ4_A7Gdhe7mcR976aoAxCgo_ff6kXx8Zaeu3fzSM5iNHMgSxBNbxIAaIAdiLm9v6MYUQB332UPrpBKBReD4Xb_UJB1nmdj0P4twPcEebZqnkgbGO_zKWoJApaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:45:48.350Z | event=payment_session_created | branch_id=2a9ecd6b-f70c-46c4-ab7f-8353264f417d | business_id=38477441-ae91-4ad5-acc0-5de51307d2b1 | order_id=onboard_1774244749119 | session_id=session_fPTaKixQ4_A7Gdhe7mcR976aoAxCgo_ff6kXx8Zaeu3fzSM5iNHMgSxBNbxIAaIAdiLm9v6MYUQB332UPrpBKBReD4Xb_UJB1nmdj0P4twPcEebZqnkgbGO_zKWoJApaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T05:45:48.399Z | event=payment_initiated | branch_id=2a9ecd6b-f70c-46c4-ab7f-8353264f417d | business_id=38477441-ae91-4ad5-acc0-5de51307d2b1 | order_id=onboard_1774244749119 | session_id=session_fPTaKixQ4_A7Gdhe7mcR976aoAxCgo_ff6kXx8Zaeu3fzSM5iNHMgSxBNbxIAaIAdiLm9v6MYUQB332UPrpBKBReD4Xb_UJB1nmdj0P4twPcEebZqnkgbGO_zKWoJApaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T06:01:52.845Z | event=branch_created | branch_id=ef78d1c6-7b3f-4d2a-86fc-9ff2a66ae2f9 | business_id=81c95ac1-7fcf-41b7-b83b-f48499491fd7 | order_id=onboard_1774245713430 | session_id=session_WGtjY4uFod214fzGhdNzklpOcEewmo8lkmX9T4q2HMl9GnNMJyv6txyBHtP5nDmObj07XKPqqVGSP5d_dPDK2ghLKfRxXXEJ0fw1YJydF25pJuHPBqPvlivq6A9RCwpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T06:01:52.880Z | event=payment_session_created | branch_id=ef78d1c6-7b3f-4d2a-86fc-9ff2a66ae2f9 | business_id=81c95ac1-7fcf-41b7-b83b-f48499491fd7 | order_id=onboard_1774245713430 | session_id=session_WGtjY4uFod214fzGhdNzklpOcEewmo8lkmX9T4q2HMl9GnNMJyv6txyBHtP5nDmObj07XKPqqVGSP5d_dPDK2ghLKfRxXXEJ0fw1YJydF25pJuHPBqPvlivq6A9RCwpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T06:01:52.943Z | event=payment_initiated | branch_id=ef78d1c6-7b3f-4d2a-86fc-9ff2a66ae2f9 | business_id=81c95ac1-7fcf-41b7-b83b-f48499491fd7 | order_id=onboard_1774245713430 | session_id=session_WGtjY4uFod214fzGhdNzklpOcEewmo8lkmX9T4q2HMl9GnNMJyv6txyBHtP5nDmObj07XKPqqVGSP5d_dPDK2ghLKfRxXXEJ0fw1YJydF25pJuHPBqPvlivq6A9RCwpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T06:05:38.514Z | event=payment_confirmation_pending | branch_id=ef78d1c6-7b3f-4d2a-86fc-9ff2a66ae2f9 | business_id=81c95ac1-7fcf-41b7-b83b-f48499491fd7 | order_id=onboard_1774245713430 | session_id=session_WGtjY4uFod214fzGhdNzklpOcEewmo8lkmX9T4q2HMl9GnNMJyv6txyBHtP5nDmObj07XKPqqVGSP5d_dPDK2ghLKfRxXXEJ0fw1YJydF25pJuHPBqPvlivq6A9RCwpaymentpayment | status=PENDING | source=business-register | error=Payment is still being confirmed. Keep this page open, and click Continue payment if you already completed the checkout.
2026-03-23T07:13:07.656Z | event=branch_created | branch_id=3c4bfc10-ccc1-46bb-8dea-c6299bd06a7d | business_id=92a2ff0e-d52d-44e5-ba0f-62406701c352 | order_id=onboard_1774249988207 | session_id=session_gXy5pjVLCNwcULhOY6lLS9RA0q7qSK_VrgY5sVdKOhmnH7ggq6d7EIrk0VO36U1C0jRrkXrb_so9xLxOz5MinRw25C6JV19JKPCeYYQB3inmj5e34gt8loVTklPV5gpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T07:13:07.690Z | event=payment_session_created | branch_id=3c4bfc10-ccc1-46bb-8dea-c6299bd06a7d | business_id=92a2ff0e-d52d-44e5-ba0f-62406701c352 | order_id=onboard_1774249988207 | session_id=session_gXy5pjVLCNwcULhOY6lLS9RA0q7qSK_VrgY5sVdKOhmnH7ggq6d7EIrk0VO36U1C0jRrkXrb_so9xLxOz5MinRw25C6JV19JKPCeYYQB3inmj5e34gt8loVTklPV5gpaymentpayment | status=PENDING | source=business-register | error=-
2026-03-23T07:13:07.768Z | event=payment_initiated | branch_id=3c4bfc10-ccc1-46bb-8dea-c6299bd06a7d | business_id=92a2ff0e-d52d-44e5-ba0f-62406701c352 | order_id=onboard_1774249988207 | session_id=session_gXy5pjVLCNwcULhOY6lLS9RA0q7qSK_VrgY5sVdKOhmnH7ggq6d7EIrk0VO36U1C0jRrkXrb_so9xLxOz5MinRw25C6JV19JKPCeYYQB3inmj5e34gt8loVTklPV5gpaymentpayment | status=PENDING | source=business-register | error=-
